timestamp,library,collective,data_type,message_size_bytes,message_size_elements,num_ranks,rank,hostname,node_id,total_nodes,is_multi_node,run_id,time_ms,gdr_copy
20250709_193312,nccl,broadcast,float,64,16,4,0,lrdn0239.leonardo.local,0,1,false,3,0.020,false
20250709_193312,nccl,broadcast,float,64,16,4,2,lrdn0239.leonardo.local,0,1,false,3,0.020,false
20250709_193312,nccl,broadcast,float,64,16,4,3,lrdn0239.leonardo.local,0,1,false,3,0.019,false
20250709_193312,nccl,broadcast,float,64,16,4,1,lrdn0239.leonardo.local,0,1,false,3,0.020,false
20250709_193312,nccl,broadcast,float,64,16,4,2,lrdn0239.leonardo.local,0,1,false,3,0.234,false
20250709_193312,nccl,broadcast,float,64,16,4,1,lrdn0239.leonardo.local,0,1,false,3,0.027,false
20250709_193312,nccl,broadcast,float,64,16,4,3,lrdn0239.leonardo.local,0,1,false,3,0.239,false
20250709_193312,nccl,broadcast,float,64,16,4,0,lrdn0239.leonardo.local,0,1,false,3,0.027,false
20250709_193312,nccl,broadcast,float,64,16,4,0,lrdn0239.leonardo.local,0,1,false,3,0.024,false
20250709_193312,nccl,broadcast,float,64,16,4,2,lrdn0239.leonardo.local,0,1,false,3,0.122,false
20250709_193312,nccl,broadcast,float,64,16,4,3,lrdn0239.leonardo.local,0,1,false,3,0.119,false
20250709_193312,nccl,broadcast,float,64,16,4,1,lrdn0239.leonardo.local,0,1,false,3,0.121,false
20250709_193312,nccl,broadcast,float,64,16,4,1,lrdn0239.leonardo.local,0,1,false,3,0.024,false
20250709_193312,nccl,broadcast,float,64,16,4,0,lrdn0239.leonardo.local,0,1,false,3,0.024,false
20250709_193312,nccl,broadcast,float,64,16,4,3,lrdn0239.leonardo.local,0,1,false,3,0.119,false
20250709_193312,nccl,broadcast,float,64,16,4,2,lrdn0239.leonardo.local,0,1,false,3,0.119,false
20250709_193312,nccl,broadcast,float,64,16,4,0,lrdn0239.leonardo.local,0,1,false,3,0.022,false
20250709_193312,nccl,broadcast,float,64,16,4,1,lrdn0239.leonardo.local,0,1,false,3,0.098,false
20250709_193312,nccl,broadcast,float,64,16,4,2,lrdn0239.leonardo.local,0,1,false,3,0.024,false
20250709_193312,nccl,broadcast,float,64,16,4,3,lrdn0239.leonardo.local,0,1,false,3,0.132,false
