timestamp,library,collective,data_type,message_size_bytes,message_size_elements,num_ranks,rank,hostname,node_id,total_nodes,is_multi_node,run_id,time_ms,gdr_copy
20250709_204255,nccl,reduce_scatter,int,64,16,4,0,lrdn1484.leonardo.local,0,1,false,4,0.020,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,2,lrdn1484.leonardo.local,0,1,false,4,0.021,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,1,lrdn1484.leonardo.local,0,1,false,4,0.020,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,3,lrdn1484.leonardo.local,0,1,false,4,0.020,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,2,lrdn1484.leonardo.local,0,1,false,4,0.187,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,1,lrdn1484.leonardo.local,0,1,false,4,0.188,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,3,lrdn1484.leonardo.local,0,1,false,4,0.030,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,0,lrdn1484.leonardo.local,0,1,false,4,0.194,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,2,lrdn1484.leonardo.local,0,1,false,4,0.120,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,0,lrdn1484.leonardo.local,0,1,false,4,0.027,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,3,lrdn1484.leonardo.local,0,1,false,4,0.117,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,1,lrdn1484.leonardo.local,0,1,false,4,0.119,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,1,lrdn1484.leonardo.local,0,1,false,4,0.026,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,0,lrdn1484.leonardo.local,0,1,false,4,0.119,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,2,lrdn1484.leonardo.local,0,1,false,4,0.201,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,3,lrdn1484.leonardo.local,0,1,false,4,0.117,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,2,lrdn1484.leonardo.local,0,1,false,4,0.122,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,3,lrdn1484.leonardo.local,0,1,false,4,0.027,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,0,lrdn1484.leonardo.local,0,1,false,4,0.124,false
20250709_204255,nccl,reduce_scatter,int,64,16,4,1,lrdn1484.leonardo.local,0,1,false,4,0.198,false
