timestamp,library,collective,data_type,message_size_bytes,message_size_elements,num_ranks,rank,hostname,node_id,total_nodes,is_multi_node,run_id,time_ms,gdr_copy
20250709_203645,nccl,scatter,int,4096,1024,4,2,lrdn1872.leonardo.local,0,1,false,1,0.023,false
20250709_203645,nccl,scatter,int,4096,1024,4,1,lrdn1872.leonardo.local,0,1,false,1,0.023,false
20250709_203645,nccl,scatter,int,4096,1024,4,0,lrdn1872.leonardo.local,0,1,false,1,0.022,false
20250709_203645,nccl,scatter,int,4096,1024,4,3,lrdn1872.leonardo.local,0,1,false,1,0.022,false
20250709_203645,nccl,scatter,int,4096,1024,4,1,lrdn1872.leonardo.local,0,1,false,1,0.026,false
20250709_203645,nccl,scatter,int,4096,1024,4,0,lrdn1872.leonardo.local,0,1,false,1,0.035,false
20250709_203645,nccl,scatter,int,4096,1024,4,2,lrdn1872.leonardo.local,0,1,false,1,0.027,false
20250709_203645,nccl,scatter,int,4096,1024,4,3,lrdn1872.leonardo.local,0,1,false,1,0.026,false
20250709_203645,nccl,scatter,int,4096,1024,4,0,lrdn1872.leonardo.local,0,1,false,1,0.028,false
20250709_203645,nccl,scatter,int,4096,1024,4,3,lrdn1872.leonardo.local,0,1,false,1,0.024,false
20250709_203645,nccl,scatter,int,4096,1024,4,1,lrdn1872.leonardo.local,0,1,false,1,0.028,false
20250709_203645,nccl,scatter,int,4096,1024,4,2,lrdn1872.leonardo.local,0,1,false,1,0.025,false
20250709_203645,nccl,scatter,int,4096,1024,4,0,lrdn1872.leonardo.local,0,1,false,1,0.028,false
20250709_203645,nccl,scatter,int,4096,1024,4,1,lrdn1872.leonardo.local,0,1,false,1,0.024,false
20250709_203645,nccl,scatter,int,4096,1024,4,2,lrdn1872.leonardo.local,0,1,false,1,0.024,false
20250709_203645,nccl,scatter,int,4096,1024,4,3,lrdn1872.leonardo.local,0,1,false,1,0.028,false
20250709_203645,nccl,scatter,int,4096,1024,4,1,lrdn1872.leonardo.local,0,1,false,1,0.023,false
20250709_203645,nccl,scatter,int,4096,1024,4,0,lrdn1872.leonardo.local,0,1,false,1,0.027,false
20250709_203645,nccl,scatter,int,4096,1024,4,2,lrdn1872.leonardo.local,0,1,false,1,0.023,false
20250709_203645,nccl,scatter,int,4096,1024,4,3,lrdn1872.leonardo.local,0,1,false,1,0.023,false
